question,sentence,label,idx
How many farms are there in Victoria?,"As of 2004, an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land.",0,2391
What gauge of rail lines do two tourist lines use?,There are also several smaller freight operators and numerous tourist railways operating over lines which were once parts of a state-owned system.,1,964
How many contributing authors does an IPCC report chapter have?,Each chapter has a number of authors who are responsible for writing and editing the material.,1,789
What other projectiles did Tesla compare the electric particles to?,"In comparing these particles with the bits of metal projected by his ""electric gun,"" Tesla said, ""The particles in the beam of force ... will travel much faster than such particles ... and they will travel in concentrations.""",0,2452
"How much money did Dillon, Read & Co offer Mark Woods for NBC Blue?","Once Mutual's appeals against the FCC were rejected, RCA decided to sell NBC Blue in 1941, and gave the mandate to do so to Mark Woods.",1,882
What is the name for a teacher of just one person?,A teacher who teaches on an individual basis may be described as a tutor.,0,1251
What is a Cairns replication intermediate?,"As the D-loop moves through the circular DNA, it adopts a theta intermediary form, also known as a Cairns replication intermediate, and completes replication with a rolling circle mechanism.",0,1425
What are the proteins that organisms use to identify molecules associated with pathogens?,"Antimicrobial peptides called defensins are an evolutionarily conserved component of the innate immune response found in all animals and plants, and represent the main form of invertebrate systemic immunity.",1,538
What are the biggest game animals of Kenya called?,"A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country.",1,331
Where does the gold in the parliamentary mace come from?,"At the beginning of each sitting in the chamber, the lid of the case is rotated so that the mace is above the glass, to symbolise that a full meeting of the Parliament is taking place.",1,3059
When did Genghis Khan capture the Jin dynasty capital?,"In 1211, after the conquest of Western Xia, Genghis Khan planned again to conquer the Jin dynasty.",1,3291
What is the largest ABC station operator in terms of market reach?,"The E. W. Scripps Company is the largest operator of ABC stations in terms of overall market reach, owning 15 ABC-affiliated stations (including affiliates in larger markets such as Cleveland, Phoenix, Detroit and Denver), and through its ownership of Phoenix affiliate KNXV, Las Vegas affiliate KTNV-TV and Tucson affiliate KGUN-TV, the only provider of ABC programming for the majority of Arizona (outside of the Yuma-El Centro market) and Southern Nevada.",0,4268
Some of the objects held in the Jameel Gallery of Islamic Art come from which European country?,"The Jameel Gallery of Islamic Art, opened in 2006, houses a representative display of 400 objects with the highlight being the Ardabil Carpet, the centrepiece of the gallery.",1,3822
Who officially opened the V&A?,"In 1893 the ""Science Museum"" had effectively come into existence when a separate director was appointed.",1,1801
Where in South Carolina did Huguenot nobility settle?,"After the Revocation of the Edict of Nantes in 1685, several Huguenot families of Norman and Carolingian nobility and descent, including Edmund Bohun of Suffolk England from the Humphrey de Bohun line of French royalty descended from Charlemagne, Jean Postell of Dieppe France, Alexander Pepin, Antoine Poitevin of Orsement France, and Jacques de Bordeaux of Grenoble, immigrated to the Charleston Orange district.",0,3545
In what meeting did Shirley lay out plans for 1756?,"At a meeting in Albany in December 1755, he laid out his plans for 1756.",0,497
What year was The Invasion originally shown?,"The missing episodes of The Reign of Terror were animated by animation company Theta-Sigma, in collaboration with Big Finish, and became available for purchase in May 2013 through Amazon.com.",1,1600
What famous composer used a Lutheran hymn in his work?,Luther adopted a preexisting Johann Walter tune associated with a hymnic setting of Psalm 67's prayer for grace; Wolf Heintz's four-part setting of the hymn was used to introduce the Lutheran Reformation in Halle in 1541.,1,2253
What parts of plants have chloroplasts?,Not all cells in a multicellular plant contain chloroplasts.,1,1855
What is the Daleks' main weakness?,They continue to be a recurring 'monster' within the Doctor,1,4565
What year was North America's first printing press started?,"In 1638, the college became home for North America's first known printing press, carried by the ship John of London.",0,437
What sea were Ctenophores accidently introduced?,"One ctenophore, Mnemiopsis, has accidentally been introduced into the Black Sea, where it is blamed for causing fish stocks to collapse by eating both fish larvae and organisms that would otherwise have fed the fish.",0,1263
